wr_frac,ideal_max_load,ideal_max_tlat,crew_max_load,crew_max_tlat,crew_excess_tlat,dcrew_max_load,dcrew_max_tlat,dcrew_excess_tlat,erew_max_load,erew_max_tlat,erew_excess_tlat
0,0.9586956521739131,2391,0.9586956521739131,2391,1.0,0.9586956521739131,2391,1.0,0.7521739130434782,6903,5.401408450704225
5,0.9586956521739131,2391,0.9586956521739131,2421,1.012547051442911,0.9586956521739131,2391,1.0,0.7521739130434782,6903,5.401408450704225
10,0.9586956521739131,2391,0.9586956521739131,2463,1.0301129234629862,0.9586956521739131,2389,0.999163529903806,0.7521739130434782,6903,5.401408450704225
15,0.9586956521739131,2391,0.9586956521739131,2537,1.0610623170221665,0.9586956521739131,2389,0.999163529903806,0.7521739130434782,6903,5.401408450704225
20,0.9586956521739131,2391,0.9586956521739131,2637,1.1028858218318696,0.9586956521739131,2393,1.000836470096194,0.7521739130434782,6903,5.401408450704225
25,0.9586956521739131,2391,0.9586956521739131,2729,1.1413634462567963,0.9586956521739131,2393,1.000836470096194,0.7521739130434782,6903,5.401408450704225
30,0.9586956521739131,2391,0.9586956521739131,2861,1.1965704726056043,0.9586956521739131,2393,1.000836470096194,0.7521739130434782,6903,5.401408450704225
35,0.9586956521739131,2391,0.9586956521739131,2989,1.2501045587620243,0.9586956521739131,2395,1.001672940192388,0.7521739130434782,6903,5.401408450704225
40,0.9586956521739131,2391,0.9586956521739131,3191,1.3345880384776245,0.9586956521739131,2403,1.0050188205771644,0.7521739130434782,6903,5.401408450704225
45,0.9586956521739131,2391,0.9586956521739131,3395,1.4199079882894186,0.9586956521739131,2403,1.0050188205771644,0.7521739130434782,6903,5.401408450704225
50,0.9586956521739131,2391,0.9586956521739131,3681,1.5395232120451694,0.9586956521739131,2399,1.0033458803847763,0.7521739130434782,6903,5.401408450704225
55,0.9586956521739131,2391,0.9586956521739131,4003,1.6741948975324132,0.9586956521739131,2397,1.002509410288582,0.7521739130434782,6903,5.401408450704225
60,0.9586956521739131,2391,0.9586956521739131,4423,1.8498536177331661,0.9586956521739131,2399,1.0033458803847763,0.7521739130434782,6903,5.401408450704225
65,0.9586956521739131,2391,0.9586956521739131,4911,2.053952321204517,0.9586956521739131,2393,1.000836470096194,0.7521739130434782,6903,5.401408450704225
70,0.9586956521739131,2391,0.9586956521739131,5631,2.3550815558343787,0.9586956521739131,2393,1.000836470096194,0.7521739130434782,6903,5.401408450704225
75,0.9586956521739131,2391,0.9586956521739131,6551,2.739857800083647,0.9586956521739131,2395,1.001672940192388,0.7521739130434782,6903,5.401408450704225
80,0.9586956521739131,2391,0.9173913043478261,6467,3.928918590522479,0.9586956521739131,2387,0.9983270598076118,0.7521739130434782,6903,5.401408450704225
85,0.9586956521739131,2391,0.8760869565217391,6623,4.170654911838791,0.9586956521739131,2389,0.999163529903806,0.7521739130434782,6903,5.401408450704225
90,0.9586956521739131,2391,0.8347826086956521,6823,4.50065963060686,0.9586956521739131,2401,1.0041823504809704,0.7521739130434782,6903,5.401408450704225
95,0.9586956521739131,2391,0.7521739130434782,6023,4.71283255086072,0.9586956521739131,2383,0.9966541196152238,0.7521739130434782,6903,5.401408450704225
100,0.9586956521739131,2391,0.7521739130434782,6895,5.395148669796557,0.9586956521739131,2393,1.000836470096194,0.7521739130434782,6903,5.401408450704225